Country,GDP.capita...US.,Life.expectancy,Population,Region,Continent,Asia,Europe,Africa,Oceania,South.America,North.America
Afghanistan,687.5813677,60.50912195,29824536,ASIA (EX. NEAR EAST)         ,1,60.50912195,-99,-99,-99,-99,-99
Albania,4256.016702,77.35046341,2900489,EASTERN EUROPE                     ,2,-99,77.35046341,-99,-99,-99,-99
Algeria,5309.822369,70.88217073,38481705,NORTHERN AFRICA                    ,3,-99,-99,70.88217073,-99,-99,-99
AmericanSamoa,-99,-99,55128,OCEANIA                            ,4,-99,-99,-99,-99,-99,-99
Andorra,-99,-99,78360,WESTERN EUROPE                     ,2,-99,-99,-99,-99,-99,-99
Angola,5539.800724,51.464,20820525,SUB-SAHARAN AFRICA                 ,3,-99,-99,51.464,-99,-99,-99
Anguilla,-99,-99,-99,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,-99,-99
AntiguaandBarbuda,13525.61622,75.66531707,89069,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,75.66531707,-99
Argentina,14679.92524,76.01268293,41086927,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,76.01268293,-99
Armenia,3353.973125,74.43721951,2969081,C.W. OF IND. STATES ,1,74.43721951,-99,-99,-99,-99,-99
Aruba,-99,75.2067561,102384,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,75.2067561,-99
Australia,67511.68833,82.04634146,22728300,OCEANIA                            ,4,-99,-99,-99,82.04634146,-99,-99
Austria,48348.23206,80.93658537,8429991,WESTERN EUROPE                     ,2,-99,80.93658537,-99,-99,-99,-99
Azerbaijan,7393.771877,70.62495122,9295784,C.W. OF IND. STATES ,1,70.62495122,-99,-99,-99,-99,-99
"Bahamas,The",22096.46199,74.91446341,371960,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,74.91446341,-99
Bahrain,23339.01944,76.53619512,1317827,NEAR EAST                          ,1,76.53619512,-99,-99,-99,-99,-99
Bangladesh,862.0538953,70.29485366,154695368,ASIA (EX. NEAR EAST)         ,1,70.29485366,-99,-99,-99,-99,-99
Barbados,14917.14951,75.13202439,283221,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,75.13202439,-99
Belarus,6721.834908,71.96585366,9464000,C.W. OF IND. STATES ,1,71.96585366,-99,-99,-99,-99,-99
Belgium,44827.66283,80.38536585,11128246,WESTERN EUROPE                     ,2,-99,80.38536585,-99,-99,-99,-99
Belize,4856.715732,73.69914634,324060,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,73.69914634,-99
Benin,750.5131242,59.1194878,10050702,SUB-SAHARAN AFRICA                 ,3,-99,-99,59.1194878,-99,-99,-99
Bermuda,84470.75527,81.67780488,64798,NORTHERN AMERICA                   ,6,-99,-99,-99,-99,-99,81.67780488
Bhutan,2458.395828,67.88926829,741822,ASIA (EX. NEAR EAST)         ,1,67.88926829,-99,-99,-99,-99,-99
Bolivia,2575.683695,66.92663415,10496285,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,66.92663415,-99
BosniaandHerzegovina,4409.59212,76.12114634,3833916,EASTERN EUROPE                     ,2,-99,76.12114634,-99,-99,-99,-99
Botswana,7254.560471,46.99070732,2003910,SUB-SAHARAN AFRICA                 ,3,-99,-99,46.99070732,-99,-99,-99
Brazil,11319.97371,73.61787805,198656019,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,73.61787805,-99
BritishVirginIs.,-99,-99,-99,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,-99,-99
Brunei,-99,-99,-99,ASIA (EX. NEAR EAST)         ,1,-99,-99,-99,-99,-99,-99
Bulgaria,7198.045618,74.31463415,7305888,EASTERN EUROPE                     ,2,-99,74.31463415,-99,-99,-99,-99
BurkinaFaso,705.4549629,55.86202439,16460141,SUB-SAHARAN AFRICA                 ,3,-99,-99,55.86202439,-99,-99,-99
Burma,-99,-99,-99,ASIA (EX. NEAR EAST)         ,1,-99,-99,-99,-99,-99,-99
Burundi,251.014523,53.6287561,9849569,SUB-SAHARAN AFRICA                 ,3,-99,-99,53.6287561,-99,-99,-99
Cambodia,945.4946464,71.40882927,14864646,ASIA (EX. NEAR EAST)         ,1,71.40882927,-99,-99,-99,-99,-99
Cameroon,1219.931075,54.5875122,21699631,SUB-SAHARAN AFRICA                 ,3,-99,-99,54.5875122,-99,-99,-99
Canada,52412.48679,81.23804878,34752128,NORTHERN AMERICA                   ,6,-99,-99,-99,-99,-99,81.23804878
CapeVerde,-99,-99,-99,SUB-SAHARAN AFRICA                 ,3,-99,-99,-99,-99,-99,-99
CaymanIslands,-99,-99,57570,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,-99,-99
CentralAfricanRep.,-99,-99,-99,SUB-SAHARAN AFRICA                 ,3,-99,-99,-99,-99,-99,-99
Chad,1035.258019,50.70058537,12448175,SUB-SAHARAN AFRICA                 ,3,-99,-99,50.70058537,-99,-99,-99
Chile,15245.468,79.57265854,17464814,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,79.57265854,-99
China,6092.781886,75.1995122,1350695000,ASIA (EX. NEAR EAST)         ,1,75.1995122,-99,-99,-99,-99,-99
Colombia,7762.970829,73.77707317,47704427,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,73.77707317,-99
Comoros,767.2114252,60.644,717503,SUB-SAHARAN AFRICA                 ,3,-99,-99,60.644,-99,-99,-99
"Congo,Dem.Rep.",446.0266545,49.62326829,65705093,SUB-SAHARAN AFRICA                 ,3,-99,-99,49.62326829,-99,-99,-99
"Congo,Repub.ofthe",-99,-99,-99,SUB-SAHARAN AFRICA                 ,3,-99,-99,-99,-99,-99,-99
CookIslands,-99,-99,-99,OCEANIA                            ,4,-99,-99,-99,-99,-99,-99
CostaRica,9442.66454,79.70502439,4805295,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,79.70502439,-99
"CotedIvoire	1365.873574	50.40173171	19839750	SUB-SAHARAN AFRICA                 	3	-99	-99	50.40173171	-99	-99	-99
Croatia	13234.62176	76.92439024	4267558	EASTERN EUROPE                     	2	-99	76.92439024	-99	-99	-99	-99
Cuba	-99	79.06702439	11270957	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	79.06702439	-99
Cyprus	26352.27122	79.63712195	1128994	NEAR EAST                          	1	79.63712195	-99	-99	-99	-99	-99
CzechRepublic	19670.40261	78.07560976	10510785	EASTERN EUROPE                     	2	-99	78.07560976	-99	-99	-99	-99
Denmark	57636.12531	80.05121951	5591572	WESTERN EUROPE                     	2	-99	80.05121951	-99	-99	-99	-99
Djibouti	1574.628968	61.30397561	859652	SUB-SAHARAN AFRICA                 	3	-99	-99	61.30397561	-99	-99	-99
Dominica	7181.725557	-99	71684	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	-99	-99
DominicanRepublic	5870.769044	73.23297561	10276621	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	73.23297561	-99
EastTimor	-99	-99	-99	ASIA (EX. NEAR EAST)         	1	-99	-99	-99	-99	-99	-99
Ecuador	5655.946155	76.19256098	15492264	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	76.19256098	-99
Egypt	-99	-99	-99	NORTHERN AFRICA                    	3	-99	-99	-99	-99	-99	-99
ElSalvador	3781.500729	72.10453659	6297394	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	72.10453659	-99
EquatorialGuinea	22404.75465	52.61290244	736296	SUB-SAHARAN AFRICA                 	3	-99	-99	52.61290244	-99	-99	-99
Eritrea	504.3234084	62.23478049	6130922	SUB-SAHARAN AFRICA                 	3	-99	-99	62.23478049	-99	-99	-99
Estonia	17132.24672	76.32682927	1322696	BALTICS                            	2	-99	76.32682927	-99	-99	-99	-99
Ethiopia	472.160306	62.96595122	91728849	SUB-SAHARAN AFRICA                 	3	-99	-99	62.96595122	-99	-99	-99
FaroeIslands	-99	-99	-99	WESTERN EUROPE                     	2	-99	-99	-99	-99	-99	-99
Fiji	4401.096566	69.74473171	874742	OCEANIA                            	4	-99	-99	-99	69.74473171	-99	-99
Finland	47243.73771	80.62682927	5413971	WESTERN EUROPE                     	2	-99	80.62682927	-99	-99	-99	-99
France	40925.21229	81.96829268	65649570	WESTERN EUROPE                     	2	-99	81.96829268	-99	-99	-99	-99
FrenchGuiana	-99	-99	-99	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	-99	-99
FrenchPolynesia	-99	76.12902439	273814	OCEANIA                            	4	-99	-99	-99	76.12902439	-99	-99
Gabon	10929.87964	63.07392683	1632572	SUB-SAHARAN AFRICA                 	3	-99	-99	63.07392683	-99	-99	-99
Gambia,The	509.3875908	58.60707317	1791225	SUB-SAHARAN AFRICA                 	3	-99	-99	58.60707317	-99	-99	-99
GazaStrip	-99	-99	-99	NEAR EAST                          	1	-99	-99	-99	-99	-99	-99
Georgia	3528.731511	73.94487805	4490700	C.W. OF IND. STATES 	1	73.94487805	-99	-99	-99	-99	-99
Germany	43931.69171	80.89268293	80425823	WESTERN EUROPE                     	2	-99	80.89268293	-99	-99	-99	-99
Ghana	1645.516293	60.94712195	25366462	SUB-SAHARAN AFRICA                 	3	-99	-99	60.94712195	-99	-99	-99
Gibraltar	-99	-99	-99	WESTERN EUROPE                     	2	-99	-99	-99	-99	-99	-99
Greece	22494.41293	80.63414634	11092771	WESTERN EUROPE                     	2	-99	80.63414634	-99	-99	-99	-99
Greenland	-99	-99	56810	NORTHERN AMERICA                   	6	-99	-99	-99	-99	-99	-99
Grenada	7583.043088	72.61034146	105483	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	72.61034146	-99
Guadeloupe	-99	-99	-99	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	-99	-99
Guam	-99	78.61856098	162810	OCEANIA                            	4	-99	-99	-99	78.61856098	-99	-99
Guatemala	3340.782301	71.66385366	15082831	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	71.66385366	-99
Guernsey	-99	-99	-99	WESTERN EUROPE                     	2	-99	-99	-99	-99	-99	-99
Guinea	493.4899526	55.84465854	11451273	SUB-SAHARAN AFRICA                 	3	-99	-99	55.84465854	-99	-99	-99
Guinea-Bissau	576.3898489	54.03363415	1663558	SUB-SAHARAN AFRICA                 	3	-99	-99	54.03363415	-99	-99	-99
Guyana	3584.693489	66.04626829	795369	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	66.04626829	-99
Haiti	775.5446241	62.70265854	10173775	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	62.70265854	-99
Honduras	2339.292439	73.49343902	7935846	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	73.49343902	-99
HongKong	-99	-99	-99	ASIA (EX. NEAR EAST)         	1	-99	-99	-99	-99	-99	-99
Hungary	12784.29561	75.06341463	9920362	EASTERN EUROPE                     	2	-99	75.06341463	-99	-99	-99	-99
Iceland	44221.72548	82.91707317	320716	WESTERN EUROPE                     	2	-99	82.91707317	-99	-99	-99	-99
India	1484.46503	66.21085366	1236686732	ASIA (EX. NEAR EAST)         	1	66.21085366	-99	-99	-99	-99	-99
Indonesia	3551.423737	70.6072439	246864191	ASIA (EX. NEAR EAST)         	1	70.6072439	-99	-99	-99	-99	-99
Iran	-99	-99	-99	ASIA (EX. NEAR EAST)         	1	-99	-99	-99	-99	-99	-99
Iraq	6631.558745	69.24192683	32578209	NEAR EAST                          	1	69.24192683	-99	-99	-99	-99	-99
Ireland	48391.32573	80.89512195	4586897	WESTERN EUROPE                     	2	-99	80.89512195	-99	-99	-99	-99
IsleofMan	-99	-99	85284	WESTERN EUROPE                     	2	-99	-99	-99	-99	-99	-99
Israel	32514.55143	81.70487805	7910500	NEAR EAST                          	1	81.70487805	-99	-99	-99	-99	-99
Italy	35132.19152	82.23902439	59539717	WESTERN EUROPE                     	2	-99	82.23902439	-99	-99	-99	-99
Jamaica	5463.762007	73.2824878	2707805	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	73.2824878	-99
Japan	46679.26543	83.09609756	127561489	ASIA (EX. NEAR EAST)         	1	83.09609756	-99	-99	-99	-99	-99
Jersey	-99	-99	-99	WESTERN EUROPE                     	2	-99	-99	-99	-99	-99	-99
Jordan	4909.028101	73.74739024	6318000	NEAR EAST                          	1	73.74739024	-99	-99	-99	-99	-99
Kazakhstan	12120.30534	69.61	16791425	C.W. OF IND. STATES 	1	69.61	-99	-99	-99	-99	-99
Kenya	1165.744938	61.08317073	43178141	SUB-SAHARAN AFRICA                 	3	-99	-99	61.08317073	-99	-99	-99
Kiribati	1736.198171	68.53234146	100786	OCEANIA                            	4	-99	-99	-99	68.53234146	-99	-99
Korea,North	-99	-99	-99	ASIA (EX. NEAR EAST)         	1	-99	-99	-99	-99	-99	-99
Korea,South	-99	-99	-99	ASIA (EX. NEAR EAST)         	1	-99	-99	-99	-99	-99	-99
Kuwait	53544.04344	74.359	3250496	NEAR EAST                          	1	74.359	-99	-99	-99	-99	-99
Kyrgyzstan	-99	-99	-99	C.W. OF IND. STATES 	1	-99	-99	-99	-99	-99	-99
Laos	-99	-99	-99	ASIA (EX. NEAR EAST)         	1	-99	-99	-99	-99	-99	-99
Latvia	13946.96589	73.77804878	2034319	BALTICS                            	2	-99	73.77804878	-99	-99	-99	-99
Lebanon	9764.110607	79.84636585	4424888	NEAR EAST                          	1	79.84636585	-99	-99	-99	-99	-99
Lesotho	1134.859697	48.836	2051545	SUB-SAHARAN AFRICA                 	3	-99	-99	48.836	-99	-99	-99
Liberia	413.7585727	60.20639024	4190435	SUB-SAHARAN AFRICA                 	3	-99	-99	60.20639024	-99	-99	-99
Libya	13302.79085	75.17604878	6154623	NORTHERN AFRICA                    	3	-99	-99	75.17604878	-99	-99	-99
Liechtenstein	-99	82.38292683	36656	WESTERN EUROPE                     	2	-99	82.38292683	-99	-99	-99	-99
Lithuania	14172.28123	73.86341463	2987773	BALTICS                            	2	-99	73.86341463	-99	-99	-99	-99
Luxembourg	106022.7991	81.39268293	530946	WESTERN EUROPE                     	2	-99	81.39268293	-99	-99	-99	-99
Macau	-99	-99	-99	ASIA (EX. NEAR EAST)         	1	-99	-99	-99	-99	-99	-99
Macedonia	-99	-99	-99	EASTERN EUROPE                     	2	-99	-99	-99	-99	-99	-99
Madagascar	444.9546285	64.24863415	22293914	SUB-SAHARAN AFRICA                 	3	-99	-99	64.24863415	-99	-99	-99
Malawi	266.5889656	54.72378049	15906483	SUB-SAHARAN AFRICA                 	3	-99	-99	54.72378049	-99	-99	-99
Malaysia	10439.96491	74.84229268	29239927	ASIA (EX. NEAR EAST)         	1	74.84229268	-99	-99	-99	-99	-99
Maldives	6243.844746	77.57382927	338442	ASIA (EX. NEAR EAST)         	1	77.57382927	-99	-99	-99	-99	-99
Mali	696.1823129	54.60392683	14853572	SUB-SAHARAN AFRICA                 	3	-99	-99	54.60392683	-99	-99	-99
Malta	21129.98277	80.74634146	419455	WESTERN EUROPE                     	2	-99	80.74634146	-99	-99	-99	-99
MarshallIslands	3507.919323	-99	52555	OCEANIA                            	4	-99	-99	-99	-99	-99	-99
Martinique	-99	-99	-99	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	-99	-99
Mauritania	1042.822867	61.35060976	3796141	SUB-SAHARAN AFRICA                 	3	-99	-99	61.35060976	-99	-99	-99
Mauritius	9110.805399	73.86341463	1255882	SUB-SAHARAN AFRICA                 	3	-99	-99	73.86341463	-99	-99	-99
Mayotte	-99	-99	-99	SUB-SAHARAN AFRICA                 	3	-99	-99	-99	-99	-99	-99
Mexico	9817.837489	77.13507317	120847477	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	77.13507317	-99
Micronesia,Fed.St.	-99	-99	-99	OCEANIA                            	4	-99	-99	-99	-99	-99	-99
Moldova	2046.536787	68.69341463	3559519	C.W. OF IND. STATES 	1	68.69341463	-99	-99	-99	-99	-99
Monaco	-99	-99	37579	WESTERN EUROPE                     	2	-99	-99	-99	-99	-99	-99
Mongolia	3691.052262	67.33943902	2796484	ASIA (EX. NEAR EAST)         	1	67.33943902	-99	-99	-99	-99	-99
Montserrat	-99	-99	-99	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	-99	-99
Morocco	2899.974924	70.64312195	32521143	NORTHERN AFRICA                    	3	-99	-99	70.64312195	-99	-99	-99
Mozambique	593.2909771	49.83626829	25203395	SUB-SAHARAN AFRICA                 	3	-99	-99	49.83626829	-99	-99	-99
Namibia	5770.307964	63.88114634	2259393	SUB-SAHARAN AFRICA                 	3	-99	-99	63.88114634	-99	-99	-99
Nauru	-99	-99	-99	OCEANIA                            	4	-99	-99	-99	-99	-99	-99
Nepal	699.0804821	67.98270732	27474377	ASIA (EX. NEAR EAST)         	1	67.98270732	-99	-99	-99	-99	-99
Netherlands	49128.08727	81.10487805	16754962	WESTERN EUROPE                     	2	-99	81.10487805	-99	-99	-99	-99
NetherlandsAntilles	-99	-99	-99	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	-99	-99
NewCaledonia	-99	77.12195122	258000	OCEANIA                            	4	-99	-99	-99	77.12195122	-99	-99
NewZealand	38896.89371	81.15609756	4408100	OCEANIA                            	4	-99	-99	-99	81.15609756	-99	-99
Nicaragua	1776.605802	74.46539024	5991733	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	74.46539024	-99
Niger	385.3427082	57.96617073	17157042	SUB-SAHARAN AFRICA                 	3	-99	-99	57.96617073	-99	-99	-99
Nigeria	2742.219341	52.10902439	168833776	SUB-SAHARAN AFRICA                 	3	-99	-99	52.10902439	-99	-99	-99
N.MarianaIslands	-99	-99	-99	OCEANIA                            	4	-99	-99	-99	-99	-99	-99
Norway	99635.87453	81.45121951	5018573	WESTERN EUROPE                     	2	-99	81.45121951	-99	-99	-99	-99
Oman	23384.8058	76.59104878	3314001	NEAR EAST                          	1	76.59104878	-99	-99	-99	-99	-99
Pakistan	1252.419523	66.43587805	179160111	ASIA (EX. NEAR EAST)         	1	66.43587805	-99	-99	-99	-99	-99
Palau	11201.6286	-99	20754	OCEANIA                            	4	-99	-99	-99	-99	-99	-99
Panama	9982.481568	77.36809756	3802281	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	77.36809756	-99
PapuaNewGuinea	2147.516579	62.29892683	7167010	OCEANIA                            	4	-99	-99	-99	62.29892683	-99	-99
Paraguay	3680.232059	72.19373171	6687361	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	72.19373171	-99
Peru	6423.562055	74.51553659	29987800	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	74.51553659	-99
Philippines	2587.616557	68.55373171	96706764	ASIA (EX. NEAR EAST)         	1	68.55373171	-99	-99	-99	-99	-99
Poland	12876.46299	76.79756098	38535873	EASTERN EUROPE                     	2	-99	76.79756098	-99	-99	-99	-99
Portugal	20732.61385	80.37317073	10514844	WESTERN EUROPE                     	2	-99	80.37317073	-99	-99	-99	-99
PuertoRico	27681.63558	78.53553659	3651545	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	78.53553659	-99
Qatar	92801.039	78.45380488	2050514	NEAR EAST                          	1	78.45380488	-99	-99	-99	-99	-99
Reunion	-99	-99	-99	SUB-SAHARAN AFRICA                 	3	-99	-99	-99	-99	-99	-99
Romania	8445.29664	74.46341463	20058035	EASTERN EUROPE                     	2	-99	74.46341463	-99	-99	-99	-99
Russia	-99	-99	-99	C.W. OF IND. STATES 	1	-99	-99	-99	-99	-99	-99
Rwanda	630.1083981	63.49285366	11457801	SUB-SAHARAN AFRICA                 	3	-99	-99	63.49285366	-99	-99	-99
SaintHelena	-99	-99	-99	SUB-SAHARAN AFRICA                 	3	-99	-99	-99	-99	-99	-99
SaintKittsandNevis	-99	-99	-99	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	-99	-99
SaintLucia	-99	-99	-99	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	-99	-99
StPierreandMiquelon	-99	-99	-99	NORTHERN AMERICA                   	6	-99	-99	-99	-99	-99	-99
SaintVincentandtheGrenadines	-99	-99	-99	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	-99	-99
Samoa	4244.839691	72.98204878	188889	OCEANIA                            	4	-99	-99	-99	72.98204878	-99	-99
SanMarino	-99	-99	31247	WESTERN EUROPE                     	2	-99	-99	-99	-99	-99	-99
SaoTomeandPrincipe	1399.953483	66.13487805	188098	SUB-SAHARAN AFRICA                 	3	-99	-99	66.13487805	-99	-99	-99
SaudiArabia	25945.96633	75.49690244	28287855	NEAR EAST                          	1	75.49690244	-99	-99	-99	-99	-99
Senegal	1023.288572	63.20217073	13726021	SUB-SAHARAN AFRICA                 	3	-99	-99	63.20217073	-99	-99	-99
Serbia	5666.204793	74.83658537	7199077	EASTERN EUROPE                     	2	-99	74.83658537	-99	-99	-99	-99
Seychelles	11689.31624	74.22682927	88303	SUB-SAHARAN AFRICA                 	3	-99	-99	74.22682927	-99	-99	-99
SierraLeone	590.3180567	45.32904878	5978727	SUB-SAHARAN AFRICA                 	3	-99	-99	45.32904878	-99	-99	-99
Singapore	54007.30365	81.99512195	5312400	ASIA (EX. NEAR EAST)         	1	81.99512195	-99	-99	-99	-99	-99
Slovakia	-99	-99	-99	EASTERN EUROPE                     	2	-99	-99	-99	-99	-99	-99
Slovenia	22488.44415	80.12439024	2057159	EASTERN EUROPE                     	2	-99	80.12439024	-99	-99	-99	-99
SolomonIslands	1801.155601	67.50707317	549598	OCEANIA                            	4	-99	-99	-99	67.50707317	-99	-99
Somalia	-99	54.6912439	10195134	SUB-SAHARAN AFRICA                 	3	-99	-99	54.6912439	-99	-99	-99
SouthAfrica	7592.250473	56.09831707	52341695	SUB-SAHARAN AFRICA                 	3	-99	-99	56.09831707	-99	-99	-99
Spain	28985.33333	82.42682927	46773055	WESTERN EUROPE                     	2	-99	82.42682927	-99	-99	-99	-99
SriLanka	2921.736345	74.06804878	20328000	ASIA (EX. NEAR EAST)         	1	74.06804878	-99	-99	-99	-99	-99
Sudan	1697.852323	61.86395122	37195349	SUB-SAHARAN AFRICA                 	3	-99	-99	61.86395122	-99	-99	-99
Suriname	9378.196065	70.81139024	534541	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	70.81139024	-99
Swaziland	3289.741968	48.85063415	1230985	SUB-SAHARAN AFRICA                 	3	-99	-99	48.85063415	-99	-99	-99
Sweden	57134.07707	81.70487805	9519374	WESTERN EUROPE                     	2	-99	81.70487805	-99	-99	-99	-99
Switzerland	83295.25883	82.69756098	7996861	WESTERN EUROPE                     	2	-99	82.69756098	-99	-99	-99	-99
Syria	-99	-99	-99	NEAR EAST                          	1	-99	-99	-99	-99	-99	-99
Taiwan	-99	-99	-99	ASIA (EX. NEAR EAST)         	1	-99	-99	-99	-99	-99	-99
Tajikistan	953.0602226	67.25717073	8008990	C.W. OF IND. STATES 	1	67.25717073	-99	-99	-99	-99	-99
Tanzania	834.8429636	60.84643902	47783107	SUB-SAHARAN AFRICA                 	3	-99	-99	60.84643902	-99	-99	-99
Thailand	5479.76058	74.18797561	66785001	ASIA (EX. NEAR EAST)         	1	74.18797561	-99	-99	-99	-99	-99
Togo	589.462089	56.15034146	6642928	SUB-SAHARAN AFRICA                 	3	-99	-99	56.15034146	-99	-99	-99
Tonga	4493.720255	72.489	104941	OCEANIA                            	4	-99	-99	-99	72.489	-99	-99
TrinidadandTobago	17523.29827	69.81714634	1337439	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	69.81714634	-99
Tunisia	4197.505881	73.99512195	10777500	NORTHERN AFRICA                    	3	-99	-99	73.99512195	-99	-99	-99
Turkey	10660.72864	74.86243902	73997128	NEAR EAST                          	1	74.86243902	-99	-99	-99	-99	-99
Turkmenistan	6797.734307	65.31358537	5172931	C.W. OF IND. STATES 	1	65.31358537	-99	-99	-99	-99	-99
TurksandCaicosIs	-99	-99	-99	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	-99	-99
Tuvalu	4044.189464	-99	9860	OCEANIA                            	4	-99	-99	-99	-99	-99	-99
Uganda	652.7496163	58.64797561	36345860	SUB-SAHARAN AFRICA                 	3	-99	-99	58.64797561	-99	-99	-99
Ukraine	3873.451337	70.94414634	45593300	C.W. OF IND. STATES 	1	70.94414634	-99	-99	-99	-99	-99
UnitedArabEmirates	40444.06699	76.95787805	9205651	NEAR EAST                          	1	76.95787805	-99	-99	-99	-99	-99
UnitedKingdom	41050.77194	80.90487805	63700300	WESTERN EUROPE                     	2	-99	80.90487805	-99	-99	-99	-99
UnitedStates	51495.87485	78.74146341	313873685	NORTHERN AMERICA                   	6	-99	-99	-99	-99	-99	78.74146341
Uruguay	14727.72564	76.90782927	3395253	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	76.90782927	-99
Uzbekistan	1719.036196	68.104	29774500	C.W. OF IND. STATES 	1	68.104	-99	-99	-99	-99	-99
Vanuatu	3161.435538	71.41068293	247262	OCEANIA                            	4	-99	-99	-99	71.41068293	-99	-99
Venezuela	-99	-99	-99	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	-99	-99
Vietnam	1755.265424	75.60668293	88772900	ASIA (EX. NEAR EAST)         	1	75.60668293	-99	-99	-99	-99	-99
VirginIslands	-99	-99	-99	LATIN AMER. & CARIB    	5	-99	-99	-99	-99	-99	-99
WallisandFutuna	-99	-99	-99	OCEANIA                            	4	-99	-99	-99	-99	-99	-99
WestBank	-99	-99	-99	NEAR EAST                          	1	-99	-99	-99	-99	-99	-99
WesternSahara	-99	-99	-99	NORTHERN AFRICA                    	3	-99	-99	-99	-99	-99	-99
Yemen	-99	-99	-99	NEAR EAST                          	1	-99	-99	-99	-99	-99	-99
Zambia	1771.891151	57.02258537	14075099	SUB-SAHARAN AFRICA                 	3	-99	-99	57.02258537	-99	-99	-99
Zimbabwe	908.7823241	58.04597561	13724317	SUB-SAHARAN AFRICA                 	3	-99	-99	58.04597561	-99	-99	-99

",NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
